toggl_project_name,toggl_project_id,td_project_name,td_project_id
2018 Provost and Residential Living Computer Refresh,128942047,NO_TD_PROJECT,NO_TD_PROJECT
2019 PC Refresh,150598614,NO_TD_PROJECT,NO_TD_PROJECT
Advancement Conference Room Update (HFR 207),156372566,NO_TD_PROJECT,NO_TD_PROJECT
*Application Management Plan,14174400,NO_TD_PROJECT,NO_TD_PROJECT
Asset Management - Phase 2,161055896,Asset Management - Phase 2,391362
Audio Visual Device Security,127772987,NO_TD_PROJECT,NO_TD_PROJECT
Audit Response,166724708,State IT Audit,400245
Automate PC Vendor Quotes,128354986,NO_TD_PROJECT,NO_TD_PROJECT
AV Equipment Upgrades 18-19,139862909,NO_TD_PROJECT,NO_TD_PROJECT
AV Equipment Upgrades 19-20,154822796,NO_TD_PROJECT,NO_TD_PROJECT
AV Equipment Upgrades 20-21,163024426,AV Equipment Upgrades 20-21,401570
AV Standards Documentation,111450035,NO_TD_PROJECT,NO_TD_PROJECT
BAC 248 Upgrades,111450112,NO_TD_PROJECT,NO_TD_PROJECT
BAC 252 – BAC248 - Renovation,152008827,NO_TD_PROJECT,NO_TD_PROJECT
Basketball Locker Room Renovation,168527030,NO_TD_PROJECT,NO_TD_PROJECT
Belk 279 - Classroom Install,111450319,NO_TD_PROJECT,NO_TD_PROJECT
Belk 294 - Classroom Install,111450322,NO_TD_PROJECT,NO_TD_PROJECT
Belk 381 - Interior Design Classrooms,147362353,NO_TD_PROJECT,NO_TD_PROJECT
Belk 391 - Classroom Install,111450324,NO_TD_PROJECT,NO_TD_PROJECT
Blackboard: single sign on authentication; in 1IM (analysis +),147359627,NO_TD_PROJECT,NO_TD_PROJECT
Board of Governors (BoG) 2022,171091641,Board of Governors (BoG) 2022,42029
BP Sim Lab Install CAE Learning System,155508056,NO_TD_PROJECT,NO_TD_PROJECT
Camp 101A Renovation / Upgrade,160195382,NO_TD_PROJECT,NO_TD_PROJECT
Camp 103m Upgrades,111450559,NO_TD_PROJECT,NO_TD_PROJECT
Camp 133B1 - Phase 1 Renovation,163623266,Camp 133B1 - Phase 1 Renovation,416123
Camp 133C Update,111450611,NO_TD_PROJECT,NO_TD_PROJECT
Camp 145 AV Upgrades,111450620,NO_TD_PROJECT,NO_TD_PROJECT
Campus Digital Signage Remediation,157364249,NO_TD_PROJECT,NO_TD_PROJECT
Campus Event Support 21-22,173743696,Campus Event Support 21-22,420993
Campus IT Asset Inventory Update,120772340,NO_TD_PROJECT,NO_TD_PROJECT
Center for Career and Professional Development Room 150 Upgrade,154433514,NO_TD_PROJECT,NO_TD_PROJECT
CET Classroom Upgrades,127540942,NO_TD_PROJECT,NO_TD_PROJECT
CFPA Digital Signage,111450701,NO_TD_PROJECT,NO_TD_PROJECT
Chancellors Board Room,163776430,Chancellor's Board Room Upgrade,411066
Change Management Review,147097270,NO_TD_PROJECT,NO_TD_PROJECT
Cherwell Product Releases,138387437,Cherwell Product Releases 2020 - 2021,403692
Cherwell Time,120430833,NO_TD_PROJECT,NO_TD_PROJECT
CIO'S Boardroom Upgrade,111451783,NO_TD_PROJECT,NO_TD_PROJECT
Classroom as a Product - Phase 1,111450909,NO_TD_PROJECT,NO_TD_PROJECT
Classroom AV Training,150497616,NO_TD_PROJECT,NO_TD_PROJECT
Classroom Feedback Data Collection Project,132227216,NO_TD_PROJECT,NO_TD_PROJECT
Classroom Strategic Rennovation 2018,111450921,NO_TD_PROJECT,NO_TD_PROJECT
*Classroom Virtualization Phase II – Thin Client Implementation,14174411,NO_TD_PROJECT,NO_TD_PROJECT
Clinical Video Server Migration,157350610,NO_TD_PROJECT,NO_TD_PROJECT
ClinicNote Integration,164857400,NO_TD_PROJECT,NO_TD_PROJECT
Community Service,35928505,NO_TD_PROJECT,NO_TD_PROJECT
Community Service,148112680,NO_TD_PROJECT,NO_TD_PROJECT
